,Member,Party,Year,State,Reason,Resignation Date
455,Harry Hawes,D,1933,MO,Retired; resigned early to give successor seniority,1933-02-03
456,John Tilson,R,1932,CT,"Went back to ""private life"" to make money",1932-12-03
457,Charles Crisp,D,1932,GA,Appointed to U.S. Tariff Commission,1932-10-07
458,Frederick Dallinger,R,1932,MA,Appointed federal judge,1932-10-01
459,George Welsh,R,1932,PA,Appointed federal judge,1932-05-31
460,Peter Granata,R,1932,IL,His election was successfully contested & overturned,1932-04-05
461,Russell Leech,R,1932,PA,Appointed federal judge,1932-01-29
462,David Kincheloe,D,1930,KY,Appointed federal judge,1930-10-05
463,Jeremiah O'Connell,D,1930,RI,Appointed Rhode Island judge,1930-05-09
464,Augustus McCloskey,D,1930,TX,His election was successfully contested & overturned,1930-02-10
465,John Robsion,R,1930,KY,Appointed U.S. senator,1930-01-10
466,Fred Sackett,R,1930,KY,Appointed to Hoover administration,1930-01-09
467,John Carew,D,1929,NY,Appointed New York Supreme Court justice,1929-12-28
468,Walter Edge,R,1929,NJ,Appointed to Hoover administration,1929-11-21
